"","1","2","3","4","5","6"
"228972_at",7.08493487076225,7.68503383921081,6.45983998987788,6.10662967456239,7.05339175455279,7.09224531303634
"1556242_a_at",5.87645773242485,6.04119181477019,6.4530126285811,7.13006055823831,6.89239585180193,6.87566845682984
"232478_at",6.4472912670473,6.09487284815834,8.21603025722909,7.6822477325144,8.07255951586937,7.82281124797445
"243648_at",5.02929716799237,5.9672675411103,6.14047634934878,5.99109687894522,5.31401063661159,5.67424418607588
"219513_s_at",8.50180726196013,8.36895262284756,8.36021032036304,7.72492032408459,8.50787816026672,8.19897090284705
"216125_s_at",10.3009591324001,10.2209737626962,9.16320644646475,9.31937568645585,9.16685572608282,9.08232703263882
"215009_s_at",9.22007045894795,9.99979021281202,9.60845364186276,9.51386648973995,9.84729112880108,9.69310355068004
"1566987_s_at",7.06359742623012,6.80771375011568,6.13274532715615,5.88199884621546,5.91948416388186,6.06579372495564
"229926_at",4.94709216063627,5.78017370630518,6.75039610448564,6.61929913834986,6.48346248094226,6.8671401172467
"233021_at",5.64995427685699,6.69735541841505,6.33364775864049,6.24619943353765,6.27446957280919,5.94117921395636
"238055_at",6.26496673341283,6.42964143445864,6.72500564681482,6.92454663621203,6.6254127654459,6.94356157350806
"231431_s_at",8.36539306153614,8.76179864858497,7.71876675783122,7.9404455141307,7.91001040797256,7.84553465018138
"230545_at",3.59266616096485,3.14303259828108,3.83091183026805,3.4351343777191,3.68647616231079,4.16459242010157
"228930_at",7.63716183245464,7.7549314312811,6.88187799018367,6.89276206799723,7.31301791472127,7.46217850973903
"231089_at",6.14147962768838,6.88398225984637,8.96893830544591,8.28354503763333,8.59888572072622,8.04086358252003
"236798_at",4.56927533740562,5.29465717791362,5.27626928865446,5.61287013693892,4.79204722913863,5.38525823758761
"214857_at",6.60560419568122,6.65978239290248,6.35905442510005,5.69430570373358,6.94030480631821,6.74077119996739
"242521_at",6.152024934886,6.61214876975345,6.88650629701211,7.74218080503707,6.69909047390116,6.8978084639122
"1557389_at",5.17351193155929,4.32040166101241,4.64193962170135,4.37417469465172,5.28384321390485,4.69508725014447
"227431_at",8.49881938235081,8.943281342607,8.04566562060408,8.14534457585468,7.8557629085565,7.92220879974897
"229363_at",5.44011261889178,5.16855387104948,6.14760352899139,6.0397049159427,6.35541791396587,6.2199801038169
"234082_at",5.30216172844776,5.94133806649949,6.66759861222851,6.57466544397338,7.2678391288595,6.99414507999622
"227554_at",5.56130178518687,6.37448299024914,5.52921873951985,5.80845329287373,4.51359337092378,4.75708156263008
"229815_at",5.30332898692894,5.8378982966432,6.19019229023937,5.86114535350164,6.3080329578082,5.86886156088769
"232790_at",4.95367895261913,5.63679125842873,5.24361501518722,5.129826060851,5.88606833257156,6.10571445711704
"227985_at",10.5082099102701,10.4792512307813,8.29841003225197,8.84650850289623,8.50445811238284,8.2604921792873
"228773_at",6.95304450186642,6.62695007177552,8.01479146750416,8.58214499040804,8.28904206043422,8.46118938475114
"213698_at",9.06583954697759,9.39859635091341,10.3348791541573,10.3110151510547,10.0658841634263,9.97152994617615
"228721_at",7.68110403181206,8.06994026194262,6.14960913112436,5.63760321460315,7.80623262793388,7.79111391727672
"229756_at",5.52878106410632,5.18188297058061,5.85482500388789,5.30862004129567,6.78997930268471,6.04338678599
"1557051_s_at",8.84974233017699,8.79112041183928,10.8900405356699,10.5440521474213,9.20213272252647,8.53786695199896
"235373_at",5.90346157160748,5.97306525419494,6.79242472603112,6.73671023220555,6.74950443289692,6.57998725089363
"238953_at",5.32631999848866,5.74038296270369,5.02091096919047,4.43133911398556,4.3935241668329,4.62027984908561
"227765_at",10.0749425649733,10.0997866762282,9.51586479642387,9.32406192667836,10.0194791982947,9.88851418001236
"237899_at",5.23897960718788,4.78554076140633,6.16809751192808,5.58379331678963,6.20524532491426,5.97327058694883
"223630_at",6.55959098099746,6.7407134160062,5.94239489984301,5.91304164633033,5.8567922934726,5.83156565252926
"243680_at",7.00281815326367,6.54761974375906,5.52373570768366,5.27679339361011,5.31055127897203,5.42101228289141
"209925_at",8.25528803191926,8.49951510399526,9.04176561271497,8.86158058973143,9.60747895142797,9.37860601201161
"238485_at",7.03829157095856,7.09013910587185,6.66264735855265,6.88901740861582,7.31107774848175,7.45416069492626
"225640_at",9.5285144869419,9.25965655192337,8.98540150279153,8.79459200266128,8.78985967537647,8.53713024837029
"240233_at",7.87425578328966,8.50114378759984,6.55289626037138,6.85603628079492,7.23369966919886,7.20713061197198
"239302_s_at",3.95221146094854,3.6076277207962,4.00621184343936,3.741142372733,4.73969248599172,4.63609321382714
"226591_at",5.06123024276466,5.89893445912988,6.31344551970087,6.49995451824603,6.19153080354608,6.6009715709105
"227917_at",6.55447134427263,6.48067433158309,5.7888569430451,5.79453151884699,6.40802051860249,6.21241437500413
"1559240_at",4.76000384079402,4.76309409189652,6.48739709792342,6.58407574097686,7.04073528976125,6.91922091206967
"232284_at",3.93496207641366,4.28337398553273,4.89707750437368,4.60585584526515,4.81706146510035,4.47146065661273
"229754_at",5.37427934369592,5.35654320355526,4.7720393493427,4.94089253977295,4.65189662806482,4.87068673549837
"235428_at",4.67277530743728,4.73120678652083,4.09915079825233,4.03858070305007,3.81625400324925,3.78038100686307
"1563629_a_at",6.29965285580547,6.36426648997004,5.83085933101692,5.31363910860423,5.55797245491843,5.47441634001615
"227318_at",5.54480469065355,5.25594813977978,6.15622538684176,5.5544540932779,5.93582545712454,5.59002689882825
"1552972_at",3.02238756827068,2.94600437949202,4.19159531356404,4.58630901933071,3.79964162349439,4.74188879033291
"205904_at",7.86859772513194,7.71504162164774,9.14800605503818,9.13387981727613,8.29841003225197,8.38265713056967
"1555852_at",3.72983035587961,3.70506876630878,4.23234029353858,4.42444186668452,5.08361032704221,4.41743285280167
"241353_s_at",8.49048649009933,8.02618737862638,9.2534819345401,9.12893642532522,9.28338632370078,9.40305851929249
"231098_at",4.39092565721475,3.97278180723398,6.83205169115289,7.27442715225583,5.92712755220642,6.29710618100317
"237885_at",5.09059887104159,5.50450384444728,4.58630901933071,4.97266611866492,5.85783469412712,5.67172205076803
"241745_at",6.28718509306348,6.49582647667566,5.89645326102043,5.86394501468533,5.72803285555894,5.55864163771129
"1556123_a_at",6.95314174398751,6.67380557517429,7.31428390553261,7.46439773473913,6.74915419912057,6.66096427395338
"233176_at",6.20200280546136,6.02457088157433,6.34234965781358,6.20642693438304,7.12808639239315,7.07685226140931
"201663_s_at",11.1777641157877,10.1894545984264,9.24327867245464,9.18568276536549,9.30066965660227,9.03748855050204
"228776_at",6.88460061544691,7.51321869645922,6.95754521873022,6.97384325908029,5.97301293903508,6.21830141022277
"223035_s_at",11.0497153268004,11.4765676685969,10.0395927043374,10.0218949035078,10.3965967344576,10.4325340516303
"203192_at",6.61589411895442,6.31175040773451,7.39524562758942,6.94556697874631,7.02889058449714,6.87357466104042
"1556834_at",3.45997947990616,3.60567932910512,4.75127448379259,4.15158090492306,4.09177132506649,3.8235953732846
"1558801_at",6.69344745292899,7.25119399772211,7.59666148342845,7.6338358105531,7.38795252595718,7.37636310408725
"218567_x_at",9.28701860825521,8.93998300971111,9.72257256644004,9.61177653317195,9.44188432332407,9.6268094009083
